作者名1,作者名2
1N6Fs,Tetrajectory
3R2,DJ Mashiro
A-39,沙包P
aaaa,ああああ
AJURIKA,遠山明孝
BlackY,WAiKURO
CK,しーけー
COSIO,E.G.G. 
Cosmograph,Lunatic Sounds
crayvxn,Pharien
C-Show,D-Cee
Ctymax,1N6Fs
DJ Genki,Gram
DJ Genki,彦田元気
dj TAKA,TAKA
FALCHiON,DJ FALCH1ON
Falcom Sound Team J.D.K.,Falcom Sound Team jdk
Feryquitous,An
Feryquitous,AcuticNotes
gmtn.,gumtune
GYARI,ココアシガレットP
HARDCORE TANO*C,TANO*C Sound Team
Hiro,川口博史
Ice,光吉猛修の弟
Ice,Spiegel
INFX,HyuN
JAKAZiD,Joshka
Kai,甲斐考博
Knighthood,BlueWind
L.E.D.,L.E.D.-G
lapix,HiTECH NINJA
Laxeno57,Lax1u57
Lime,Kankitsu
Lime,ダークサンバマスター佐藤 -SATOH-
m1dy,渡邉余生
Maozon,Scarfaith
MASAKI,森正樹
Masanori Akita,秋田真典
Masayoshi Minoshima,簑島正佳
Ms.Sill,Metamon
N²,ANTIREAL
NceS,SunsetRay
Nhato,福室逹也
Normal1zer,Supa7onyz
Normal1zer,Broken Nerdz
onoken,owl*tree
onoken,ani
P*Light,八王子P
Powerless,無力P
RoughSketch,uno
RoughSketch,Nothing But Requiem
Sampling Masters MEGA,细江慎治
sasakure.UK,TJ.hangneil
sasakure.UK,Team:SASAKURATION
Scarlette,CrYmson
s-don,Iriss
s-don,Frantzz
Silentroom,GRASSEZ
Sobrem,Widowmaker
Sobrem,Widowmaker
Sobrem,w_tre
Synzak,硝酸生菜
TAG,TAG underground overlay
TAK,HAYAKO
Tatsh,世阿弥
Tatsh,DJ MURASAME
Team Grimoire,DJ Grimoire
Team Grimoire,光吉猛修の兄
Team Grimoire,Mitsuyoshi Takenobu no Ani
Team Grimoire,Negentropy
Team Grimoire,Nevelymn
THE KOXX,칵스
Utsuro,IanMirror
Yu_Asahina,Orangentle
Yunosuke,雄之助
Yuta Imai,Qlarabelle
ああああ,AAAA
あやぽんず＊,あやぽんず
アリスシャッハと魔法の楽団,Alice Schach and the Magic Orchestra
いよわ,iyowa
かたぎり,katagiri
かめりあ,Camellia
かめりあ,かめりあ(Camellia)
かめりあ,かめりあ(EDP)
かめりあ,Camellia(EDP)
きくお,kikuo
グリリ,Guriri
じん,自然の敵P
ツユ,TUYU
ナナホシ管弦楽団,Nanahoshi Kangengakudan
ぱらどっと,adaptor
ビートまりお,beatmania
ぺのれり,三好启太
モリモリあつし,ガリガリさむし
ルゼ,LuzeriA
ルゼ,Luze
ろん,LON
打打だいず,D-D-Dice
大国奏音,小国奏音
大国奏音,奏音
渡部恭久,Yack.
高橋菜々,Nana Takahashi
黒皇帝,Lidelle
黒魔,Chroma
黒沢大佑,Daisuke Kurosawa
黒沢大佑,黒沢ダイスケ
黒沢大佑,96
江口孝宏,eoll
猫叉Master,佐藤直之
猫叉Master,猫叉Master+
猫叉Master,飛燕流舞
猫叉Master,猫叉Masterβ2
梅干茶漬け,Umeboshi Chazuke
庭師,niwashi
西村宜隆,DJ YOSHITAKA
削除,Sakuzyo
ぺのれり,Penoreri
かぼちゃ,Kabocha
藍月なくる,Aitsuki Nakuru
NOMA,ノマ
簑島正佳,Masayoshi Minoshima
秋田 真典,Masanori Akita
Orangestar,めありー
