rel_id,游戏编号,song_id,收录版本,收录时间,最新更新时间
110001_Rotaeno_20240530,Rotaeno,110001,,2024-05-30,2026-03-24 15:58:18
110002_Rotaeno_20250127,Rotaeno,110002,,2025-01-27,2026-03-24 15:58:18
110003_Rotaeno_20240829,Rotaeno,110003,,2024-08-29,2026-03-24 15:58:18
110004_Rotaeno_20230116,Rotaeno,110004,,2023-01-16,2026-03-24 15:58:18
110005_Rotaeno_20241205,Rotaeno,110005,,2024-12-05,2026-03-24 15:58:18
110006_Rotaeno_20241001,Rotaeno,110006,,2024-10-01,2026-03-24 15:58:18
110007_Rotaeno_20240307,Rotaeno,110007,,2024-03-07,2026-03-24 15:58:18
110008_Rotaeno_20240117,Rotaeno,110008,,2024-01-17,2026-03-24 15:58:18
110009_Rotaeno_20230228,Rotaeno,110009,,2023-02-28,2026-03-24 15:58:18
110010_Rotaeno_20241031,Rotaeno,110010,,2024-10-31,2026-03-24 15:58:18
110011_Rotaeno_20240530,Rotaeno,110011,,2024-05-30,2026-03-24 15:58:18
110012_Rotaeno_20231019,Rotaeno,110012,,2023-10-19,2026-03-24 15:58:18
110013_Rotaeno_20240418,Rotaeno,110013,,2024-04-18,2026-03-24 15:58:18
110014_Rotaeno_20231226,Rotaeno,110014,,2023-12-26,2026-03-24 15:58:18
110015_Rotaeno_20231205,Rotaeno,110015,,2023-12-05,2026-03-24 15:58:18
110016_Rotaeno_20231019,Rotaeno,110016,,2023-10-19,2026-03-24 15:58:18
110017_Rotaeno_20230705,Rotaeno,110017,,2023-07-05,2026-03-24 15:58:18
110018_Rotaeno_20240829,Rotaeno,110018,,2024-08-29,2026-03-24 15:58:18
110019_Rotaeno_20240307,Rotaeno,110019,,2024-03-07,2026-03-24 15:58:18
110020_Rotaeno_20240829,Rotaeno,110020,,2024-08-29,2026-03-24 15:58:18
110021_Rotaeno_20250127,Rotaeno,110021,,2025-01-27,2026-03-24 15:58:18
110022_Rotaeno_20240418,Rotaeno,110022,,2024-04-18,2026-03-24 15:58:18
110023_Rotaeno_20241031,Rotaeno,110023,,2024-10-31,2026-03-24 15:58:18
110024_Rotaeno_20230228,Rotaeno,110024,,2023-02-28,2026-03-24 15:58:18
110025_Rotaeno_20221019,Rotaeno,110025,,2022-10-19,2026-03-24 15:58:18
110026_Rotaeno_20250127,Rotaeno,110026,,2025-01-27,2026-03-24 15:58:18
110027_Rotaeno_20231019,Rotaeno,110027,,2023-10-19,2026-03-24 15:58:18
110028_Rotaeno_20240418,Rotaeno,110028,,2024-04-18,2026-03-24 15:58:18
110029_Rotaeno_20240530,Rotaeno,110029,,2024-05-30,2026-03-24 15:58:18
110030_Rotaeno_20221101,Rotaeno,110030,,2022-11-01,2026-03-24 15:58:18
110031_Rotaeno_20230530,Rotaeno,110031,,2023-05-30,2026-03-24 15:58:18
110032_Rotaeno_20221125,Rotaeno,110032,,2022-11-25,2026-03-24 15:58:18
110033_Rotaeno_20221019,Rotaeno,110033,,2022-10-19,2026-03-24 15:58:18
110034_Rotaeno_20221019,Rotaeno,110034,,2022-10-19,2026-03-24 15:58:18
110035_Rotaeno_20230407,Rotaeno,110035,,2023-04-07,2026-03-24 15:58:18
110036_Rotaeno_20220613,Rotaeno,110036,,2022-06-13,2026-03-24 15:58:18
110037_Rotaeno_20241001,Rotaeno,110037,,2024-10-01,2026-03-24 15:58:18
110038_Rotaeno_20230705,Rotaeno,110038,,2023-07-05,2026-03-24 15:58:18
110039_Rotaeno_20231205,Rotaeno,110039,,2023-12-05,2026-03-24 15:58:18
110040_Rotaeno_20221125,Rotaeno,110040,,2022-11-25,2026-03-24 15:58:18
110041_Rotaeno_20230228,Rotaeno,110041,,2023-02-28,2026-03-24 15:58:18
110042_Rotaeno_20220530,Rotaeno,110042,,2022-05-30,2026-03-24 15:58:18
110043_Rotaeno_20221019,Rotaeno,110043,,2022-10-19,2026-03-24 15:58:18
110044_Rotaeno_20230228,Rotaeno,110044,,2023-02-28,2026-03-24 15:58:18
110045_Rotaeno_20230830,Rotaeno,110045,,2023-08-30,2026-03-24 15:58:18
110046_Rotaeno_20240418,Rotaeno,110046,,2024-04-18,2026-03-24 15:58:18
110047_Rotaeno_20250127,Rotaeno,110047,,2025-01-27,2026-03-24 15:58:18
110048_Rotaeno_20241205,Rotaeno,110048,,2024-12-05,2026-03-24 15:58:18
110049_Rotaeno_20240718,Rotaeno,110049,,2024-07-18,2026-03-24 15:58:18
110050_Rotaeno_20231205,Rotaeno,110050,,2023-12-05,2026-03-24 15:58:18
110051_Rotaeno_20221125,Rotaeno,110051,,2022-11-25,2026-03-24 15:58:18
110052_Rotaeno_20241001,Rotaeno,110052,,2024-10-01,2026-03-24 15:58:18
110053_Rotaeno_20230116,Rotaeno,110053,,2023-01-16,2026-03-24 15:58:18
110054_Rotaeno_20250127,Rotaeno,110054,,2025-01-27,2026-03-24 15:58:18
110055_Rotaeno_20220811,Rotaeno,110055,,2022-08-11,2026-03-24 15:58:18
110056_Rotaeno_20230116,Rotaeno,110056,,2023-01-16,2026-03-24 15:58:18
110057_Rotaeno_20220530,Rotaeno,110057,,2022-05-30,2026-03-24 15:58:18
110058_Rotaeno_20231019,Rotaeno,110058,,2023-10-19,2026-03-24 15:58:18
110059_Rotaeno_20240117,Rotaeno,110059,,2024-01-17,2026-03-24 15:58:18
110060_Rotaeno_20230116,Rotaeno,110060,,2023-01-16,2026-03-24 15:58:18
110061_Rotaeno_20230530,Rotaeno,110061,,2023-05-30,2026-03-24 15:58:18
110062_Rotaeno_20240530,Rotaeno,110062,,2024-05-30,2026-03-24 15:58:18
110063_Rotaeno_20230407,Rotaeno,110063,,2023-04-07,2026-03-24 15:58:18
110064_Rotaeno_20241205,Rotaeno,110064,,2024-12-05,2026-03-24 15:58:18
