rel_id,song_id,author_id,曲名,作者名,最新更新时间
1000001,1,999999,Sayonara Hatsukoi,REDSHiFT,2026-03-27 15:43:48
1000002,2,999998,Lost Civilization,Laur,2026-03-27 15:43:48
1000003,2,999997,Lost Civilization,CK,2026-03-27 15:43:48
1000004,3,999996,GOODTEK (Arcaea Edit),EBIMAYO,2026-03-27 15:43:48
1000005,4,999998,Cry of viyella,Laur,2026-03-27 15:43:48
1000006,5,999995,Rise,Combatplayer,2026-03-27 15:43:48
1000007,6,999994,Lucifer,chitose,2026-03-27 15:43:48
1000008,7,999994,Fairytale,chitose,2026-03-27 15:43:48
1000009,8,999995,I've heard it said,Combatplayer,2026-03-27 15:43:48
1000010,9,999993,Babaroque,cYsmix,2026-03-27 15:43:48
1000011,10,999992,Memoryfactory.lzh,Frums,2026-03-27 15:43:48
1000012,11,999991,Snow White,Puru,2026-03-27 15:43:48
1000013,12,999990,Relentless,Akira Complex,2026-03-27 15:43:48
1000014,13,999989,Shades of Light in a Transcendent Realm,ak+q,2026-03-27 15:43:48
1000015,14,999989,Vexaria,ak+q,2026-03-27 15:43:48
1000016,15,999989,Essence of Twilight,ak+q,2026-03-27 15:43:48
1000017,16,999988,Qualia -ideaesthesia-,nitro,2026-03-27 15:43:48
1000018,17,999998,PRAGMATISM,Laur,2026-03-27 15:43:48
1000019,18,999987,Sheriruth,Team Grimoire,2026-03-27 15:43:48
1000020,19,999986,Lumia,sky_delta,2026-03-27 15:43:48
1000021,20,999985,Dement ~after legend~,Cosmograph,2026-03-27 15:43:48
1000022,21,999984,Dandelion,Farhan,2026-03-27 15:43:48
1000023,22,999983,Anökumene,Jun Kuroda,2026-03-27 15:43:48
1000024,23,999982,Infinity Heaven,HyuN,2026-03-27 15:43:48
1000025,24,999981,Party Vinyl,モリモリあつし,2026-03-27 15:43:48
1000026,25,999980,Flashback,ARForest,2026-03-27 15:43:48
1000027,26,999979,Flyburg and Endroll,アリスシャッハと魔法の楽団,2026-03-27 15:43:48
1000028,27,999978,Nirv lucE,しーけー,2026-03-27 15:43:48
1000029,28,999977,Paradise,Sound Souler,2026-03-27 15:43:48
1000030,29,999976,Brand new world,U-ske,2026-03-27 15:43:48
1000031,30,999985,DataErr0r,Cosmograph,2026-03-27 15:43:48
1000032,31,999982,CROSS†SOUL,HyuN,2026-03-27 15:43:48
1000033,31,999975,CROSS†SOUL,Syepias,2026-03-27 15:43:48
1000034,32,999974,Your voice so... feat. Such,PSYQUI,2026-03-27 15:43:48
1000035,33,999973,Chronostasis,黒皇帝,2026-03-27 15:43:48
1000036,34,999972,Kanagawa Cyber Culvert,南ゆに,2026-03-27 15:43:48
1000037,35,999971,Moonlight of Sand Castle,旅人E,2026-03-27 15:43:48
1000038,36,999970,REconstruction,Ryazan,2026-03-27 15:43:48
1000039,37,999969,Evoltex (poppi'n mix),Arch,2026-03-27 15:43:48
1000040,37,999968,Evoltex (poppi'n mix),n3pu,2026-03-27 15:43:48
1000041,38,999967,Oracle,TQ☆,2026-03-27 15:43:48
1000042,39,999966,Αterlβus,Aoi,2026-03-27 15:43:48
1000043,40,999978,Clotho and the stargazer,しーけー,2026-03-27 15:43:48
1000044,41,999965,Impure Bird,MIssionary,2026-03-27 15:43:48
1000045,42,999989,Ignotus,ak+q,2026-03-27 15:43:48
1000046,43,999964,Lethaeus,Silentroom,2026-03-27 15:43:48
1000047,44,999976,Romance Wars,U-ske,2026-03-27 15:43:48
1000048,44,999963,Romance Wars,lueur,2026-03-27 15:43:48
1000049,45,999962,Blossoms,T2Kazuya,2026-03-27 15:43:48
1000050,46,999961,Moonheart,翡乃イスカ,2026-03-27 15:43:48
1000051,47,999960,Genesis (Iris),Iris,2026-03-27 15:43:48
1000052,48,999959,Harutopia ~Utopia of Spring~,A-zu-ra,2026-03-27 15:43:48
1000053,49,999958,Auxesia,ginkiha,2026-03-27 15:43:48
1000054,50,999957,Rabbit In The Black Room,Rabbit House,2026-03-27 15:43:48
1000055,51,999956,Modelista,HiTECH NINJA,2026-03-27 15:43:48
1000056,52,999955,SOUNDWiTCH,HATE,2026-03-27 15:43:48
1000057,53,999954,Trappola bewitching,gmtn.,2026-03-27 15:43:48
1000058,54,999953,Iconoclast,Yamajet,2026-03-27 15:43:48
1000059,55,999952,Conflict,siromaru,2026-03-27 15:43:48
1000060,55,999951,Conflict,cranky,2026-03-27 15:43:48
1000061,56,999989,Axium Crisis,ak+q,2026-03-27 15:43:48
1000062,57,999987,Grievous Lady,Team Grimoire,2026-03-27 15:43:48
1000063,57,999998,Grievous Lady,Laur,2026-03-27 15:43:48
1000064,58,999961,Dreamin' Attraction!!,翡乃イスカ,2026-03-27 15:43:48
1000065,59,999964,Red and Blue,Silentroom,2026-03-27 15:43:48
1000066,60,999999,One Last Drive,REDSHiFT,2026-03-27 15:43:48
1000067,61,999950,Surrender,void,2026-03-27 15:43:48
1000068,62,999949,Yosakura Fubuki,A.SAKA,2026-03-27 15:43:48
1000069,63,999948,Cyanine,jioyi,2026-03-27 15:43:48
1000070,64,999947,Dream goes on,Tiny Minim,2026-03-27 15:43:48
1000071,65,999980,Journey,ARForest,2026-03-27 15:43:48
1000072,66,999946,Specta,Junk,2026-03-27 15:43:48
1000073,67,999945,Quon (Feryquitous),Feryquitous,2026-03-27 15:43:48
1000074,68,999944,Syro,Mitomoro,2026-03-27 15:43:48
1000075,69,999977,Reinvent,Sound Souler,2026-03-27 15:43:48
1000076,70,999943,Silent Rush,Soleily,2026-03-27 15:43:48
1000077,71,999942,Singularity,ETIA.,2026-03-27 15:43:48
1000078,72,999942,Memory Forest,ETIA.,2026-03-27 15:43:48
1000079,73,999941,Strongholds,Yooh,2026-03-27 15:43:48
1000080,74,999940,Next to you,uma,2026-03-27 15:43:48
1000081,74,999939,Next to you,橘花音,2026-03-27 15:43:48
1000082,75,999938,Metallic Punisher,INNOCENT NOIZE,2026-03-27 15:43:48
1000083,76,999937,Blaster,Massive New Krew,2026-03-27 15:43:48
1000084,77,999966,Γuarδina,Aoi,2026-03-27 15:43:48
1000085,78,999936,Carmine:scythe,かゆき,2026-03-27 15:43:48
1000086,79,999974,Be There,PSYQUI,2026-03-27 15:43:48
1000087,80,999935,Cybernecia Catharsis,Tanchiky,2026-03-27 15:43:48
1000088,81,999934,Call My Name feat. Yukacco,Mameyudoufu,2026-03-27 15:43:48
1000089,82,999933,Inkar-usi,DIA,2026-03-27 15:43:48
1000090,83,999979,Maze No.9,アリスシャッハと魔法の楽団,2026-03-27 15:43:48
1000091,84,999983,The Message,Jun Kuroda,2026-03-27 15:43:48
