song_id,歌名,别名,作者,本家,最新更新时间
1,Sayonara Hatsukoi,,REDSHiFT,,2026-03-27 15:43:48
2,Lost Civilization,,Laur vs CK,,2026-03-27 15:43:48
3,GOODTEK (Arcaea Edit),,EBIMAYO,,2026-03-27 15:43:48
4,Cry of viyella,,Laur,,2026-03-27 15:43:48
5,Rise,,Combatplayer,,2026-03-27 15:43:48
6,Lucifer,,chitose,,2026-03-27 15:43:48
7,Fairytale,,chitose,,2026-03-27 15:43:48
8,I've heard it said,,Combatplayer,,2026-03-27 15:43:48
9,Babaroque,,cYsmix,,2026-03-27 15:43:48
10,Memoryfactory.lzh,,Frums,,2026-03-27 15:43:48
11,Snow White,,Puru,,2026-03-27 15:43:48
12,Relentless,,Akira Complex,,2026-03-27 15:43:48
13,Shades of Light in a Transcendent Realm,,ak+q,,2026-03-27 15:43:48
14,Vexaria,,ak+q,,2026-03-27 15:43:48
15,Essence of Twilight,,ak+q,,2026-03-27 15:43:48
16,Qualia -ideaesthesia-,,nitro,,2026-03-27 15:43:48
17,PRAGMATISM,,Laur,,2026-03-27 15:43:48
18,Sheriruth,,Team Grimoire,,2026-03-27 15:43:48
19,Lumia,,sky_delta,,2026-03-27 15:43:48
20,Dement ~after legend~,,Cosmograph,,2026-03-27 15:43:48
21,Dandelion,,Farhan,,2026-03-27 15:43:48
22,Anökumene,,Jun Kuroda,,2026-03-27 15:43:48
23,Infinity Heaven,,HyuN,,2026-03-27 15:43:48
24,Party Vinyl,,モリモリあつし,,2026-03-27 15:43:48
25,Flashback,,ARForest,,2026-03-27 15:43:48
26,Flyburg and Endroll,,アリスシャッハと魔法の楽団,,2026-03-27 15:43:48
27,Nirv lucE,,しーけー,,2026-03-27 15:43:48
28,Paradise,,Sound Souler,,2026-03-27 15:43:48
29,Brand new world,,U-ske,,2026-03-27 15:43:48
30,DataErr0r,,Cosmograph,,2026-03-27 15:43:48
31,CROSS†SOUL,,HyuN feat. Syepias,,2026-03-27 15:43:48
32,Your voice so... feat. Such,,PSYQUI,,2026-03-27 15:43:48
33,Chronostasis,,黒皇帝,,2026-03-27 15:43:48
34,Kanagawa Cyber Culvert,,南ゆに,,2026-03-27 15:43:48
35,Moonlight of Sand Castle,,旅人E,,2026-03-27 15:43:48
36,REconstruction,,Ryazan,,2026-03-27 15:43:48
37,Evoltex (poppi'n mix),,Arch vs n3pu,,2026-03-27 15:43:48
38,Oracle,,TQ☆,,2026-03-27 15:43:48
39,Αterlβus,,Aoi,,2026-03-27 15:43:48
40,Clotho and the stargazer,,しーけー,,2026-03-27 15:43:48
41,Impure Bird,,MIssionary,,2026-03-27 15:43:48
42,Ignotus,,ak+q,,2026-03-27 15:43:48
43,Lethaeus,,Silentroom,,2026-03-27 15:43:48
44,Romance Wars,,U-ske (feat. lueur),,2026-03-27 15:43:48
45,Blossoms,,T2Kazuya,,2026-03-27 15:43:48
46,Moonheart,,翡乃イスカ,,2026-03-27 15:43:48
47,Genesis (Iris),,Iris,,2026-03-27 15:43:48
48,Harutopia ~Utopia of Spring~,,A-zu-ra,,2026-03-27 15:43:48
49,Auxesia,,ginkiha,,2026-03-27 15:43:48
50,Rabbit In The Black Room,,Rabbit House,,2026-03-27 15:43:48
51,Modelista,,HiTECH NINJA,,2026-03-27 15:43:48
52,SOUNDWiTCH,,HATE,,2026-03-27 15:43:48
53,Trappola bewitching,,gmtn.,,2026-03-27 15:43:48
54,Iconoclast,,Yamajet,,2026-03-27 15:43:48
55,Conflict,,siromaru + cranky,,2026-03-27 15:43:48
56,Axium Crisis,,ak+q,,2026-03-27 15:43:48
57,Grievous Lady,,Team Grimoire vs Laur,Arcaea,2026-03-27 15:43:48
58,Dreamin' Attraction!!,,翡乃イスカ,,2026-03-27 15:43:48
59,Red and Blue,,Silentroom,,2026-03-27 15:43:48
60,One Last Drive,,REDSHiFT,,2026-03-27 15:43:48
61,Surrender,,void,,2026-03-27 15:43:48
62,Yosakura Fubuki,,A.SAKA,,2026-03-27 15:43:48
63,Cyanine,,jioyi,,2026-03-27 15:43:48
64,Dream goes on,,Tiny Minim,Lanota,2026-03-27 15:43:48
65,Journey,,ARForest,,2026-03-27 15:43:48
66,Specta,,Junk,,2026-03-27 15:43:48
67,Quon (Feryquitous),,Feryquitous,,2026-03-27 15:43:48
68,Syro,,Mitomoro,,2026-03-27 15:43:48
69,Reinvent,,Sound Souler,,2026-03-27 15:43:48
70,Silent Rush,,Soleily,,2026-03-27 15:43:48
71,Singularity,,ETIA.,Arcaea,2026-03-27 15:43:48
72,Memory Forest,,ETIA.,,2026-03-27 15:43:48
73,Strongholds,,Yooh,,2026-03-27 15:43:48
74,Next to you,,uma feat. 橘花音,,2026-03-27 15:43:48
75,Metallic Punisher,,INNOCENT NOIZE,,2026-03-27 15:43:48
76,Blaster,,Massive New Krew,,2026-03-27 15:43:48
77,Γuarδina,,Aoi,,2026-03-27 15:43:48
78,Carmine:scythe,,かゆき,,2026-03-27 15:43:48
79,Be There,,PSYQUI,,2026-03-27 15:43:48
80,Cybernecia Catharsis,,Tanchiky,,2026-03-27 15:43:48
81,Call My Name feat. Yukacco,,Mameyudoufu,,2026-03-27 15:43:48
82,Inkar-usi,,DIA,,2026-03-27 15:43:48
83,Maze No.9,,アリスシャッハと魔法の楽団,,2026-03-27 15:43:48
84,The Message,,Jun Kuroda,,2026-03-27 15:43:48
85,Sulfur,,ぺのれり,Arcaea,2026-03-27 15:43:48
86,Halcyon,,xi,,2026-03-27 15:43:48
87,Ether Strike,,Akira Complex,,2026-03-27 15:43:48
88,Fracture Ray,,Sakuzyo,,2026-03-27 15:43:48
89,Suomi,,Aire,,2026-03-27 15:43:48
90,Bookmaker (2D Version),,Kobaryo,,2026-03-27 15:43:48
91,Illegal Paradise,,gmtn. (witch's slave),,2026-03-27 15:43:48
92,Dropdead,,Frums,,2026-03-27 15:43:48
93,Fallensquare,,Silentroom,,2026-03-27 15:43:48
94,Nhelv,,Silentroom,,2026-03-27 15:43:48
95,LunarOrbit -believe in the Espebranch road-,,Apo11o program ft. 大瀬良あい,,2026-03-27 15:43:48
96,Purgatorium,,お月さま交響曲,,2026-03-27 15:43:48
97,Hikari,,THB,,2026-03-27 15:43:48
98,STAGER (ALL STAGE CLEAR),,Ras,,2026-03-27 15:43:48
99,Hall of Mirrors,,Sta,,2026-03-27 15:43:48
100,Linear Accelerator,,THE SHAFT,,2026-03-27 15:43:48
101,Tiferet,,xi + Sta,,2026-03-27 15:43:48
102,Alexandrite,,WAiKURO,,2026-03-27 15:43:48
103,Rugie,,Feryquitous feat.Sennzai,,2026-03-27 15:43:48
104,Astral tale,,Noah,,2026-03-27 15:43:48
105,Phantasia,,Yunosuke,,2026-03-27 15:43:48
106,Empire of Winter,,Street,,2026-03-27 15:43:48
107,MERLIN,,REDALiCE,Groove Coaster,2026-03-27 15:43:48
108,DX Choseinou Full Metal Shojo,,IOSYS TRAX (uno with.ちよこ),,2026-03-27 15:43:48
109,OMAKENO Stroke,,t+pazolite,Groove Coaster,2026-03-27 15:43:48
110,Scarlet Lance,,MASAKI (ZUNTATA),,2026-03-27 15:43:48
111,Ouroboros -twin stroke of the end-,,Cranky VS MASAKI,,2026-03-27 15:43:48
112,Libertas,,Zekk,,2026-03-27 15:43:48
