rel_id,song_id,author_id,曲名,作者名,最新更新时间
1000001,000001,999999,Sayonara Hatsukoi,REDSHiFT,2026-03-27 15:43:48
1000002,000002,999998,Lost Civilization,Laur,2026-03-27 15:43:48
1000003,000002,999997,Lost Civilization,CK,2026-03-27 15:43:48
1000004,000003,999996,GOODTEK (Arcaea Edit),EBIMAYO,2026-03-27 15:43:48
1000005,000004,999998,Cry of viyella,Laur,2026-03-27 15:43:48
1000006,000005,999995,Rise,Combatplayer,2026-03-27 15:43:48
1000007,000006,999994,Lucifer,chitose,2026-03-27 15:43:48
1000008,000007,999994,Fairytale,chitose,2026-03-27 15:43:48
1000009,000008,999995,I've heard it said,Combatplayer,2026-03-27 15:43:48
1000010,000009,999993,Babaroque,cYsmix,2026-03-27 15:43:48
1000011,000010,999992,Memoryfactory.lzh,Frums,2026-03-27 15:43:48
1000012,000011,999991,Snow White,Puru,2026-03-27 15:43:48
1000013,000012,999990,Relentless,Akira Complex,2026-03-27 15:43:48
1000014,000013,999989,Shades of Light in a Transcendent Realm,ak+q,2026-03-27 15:43:48
1000015,000014,999989,Vexaria,ak+q,2026-03-27 15:43:48
1000016,000015,999989,Essence of Twilight,ak+q,2026-03-27 15:43:48
1000017,000016,999988,Qualia -ideaesthesia-,nitro,2026-03-27 15:43:48
1000018,000017,999998,PRAGMATISM,Laur,2026-03-27 15:43:48
1000019,000018,999987,Sheriruth,Team Grimoire,2026-03-27 15:43:48
1000020,000019,999986,Lumia,sky_delta,2026-03-27 15:43:48
1000021,000020,999985,Dement ~after legend~,Cosmograph,2026-03-27 15:43:48
1000022,000021,999984,Dandelion,Farhan,2026-03-27 15:43:48
1000023,000022,999983,Anökumene,Jun Kuroda,2026-03-27 15:43:48
1000024,000023,999982,Infinity Heaven,HyuN,2026-03-27 15:43:48
1000025,000024,999981,Party Vinyl,モリモリあつし,2026-03-27 15:43:48
1000026,000025,999980,Flashback,ARForest,2026-03-27 15:43:48
1000027,000026,999979,Flyburg and Endroll,アリスシャッハと魔法の楽団,2026-03-27 15:43:48
1000028,000027,999978,Nirv lucE,しーけー,2026-03-27 15:43:48
1000029,000028,999977,Paradise,Sound Souler,2026-03-27 15:43:48
1000030,000029,999976,Brand new world,U-ske,2026-03-27 15:43:48
1000031,000030,999985,DataErr0r,Cosmograph,2026-03-27 15:43:48
1000032,000031,999982,CROSS†SOUL,HyuN,2026-03-27 15:43:48
1000033,000031,999975,CROSS†SOUL,Syepias,2026-03-27 15:43:48
1000034,000032,999974,Your voice so... feat. Such,PSYQUI,2026-03-27 15:43:48
1000035,000033,999973,Chronostasis,黒皇帝,2026-03-27 15:43:48
1000036,000034,999972,Kanagawa Cyber Culvert,南ゆに,2026-03-27 15:43:48
1000037,000035,999971,Moonlight of Sand Castle,旅人E,2026-03-27 15:43:48
1000038,000036,999970,REconstruction,Ryazan,2026-03-27 15:43:48
1000039,000037,999969,Evoltex (poppi'n mix),Arch,2026-03-27 15:43:48
1000040,000037,999968,Evoltex (poppi'n mix),n3pu,2026-03-27 15:43:48
1000041,000038,999967,Oracle,TQ☆,2026-03-27 15:43:48
1000042,000039,999966,Αterlβus,Aoi,2026-03-27 15:43:48
1000043,000040,999978,Clotho and the stargazer,しーけー,2026-03-27 15:43:48
