游戏编号,游戏,别名,实装时间,更新时间,数据时间,开服时间
11,Rotaeno,方向盘,2026/3/22 0:00,2026/3/27 0:00,2026/3/19,
12,Paradigm: Reboot,范式起源,2026/3/22 0:00,2026/3/27 0:00,2026/3/6 0:00,
13,Phigros,屁股肉,2026/3/22 0:00,2026/3/27 0:00,2026/3/6 0:00,
14,Orzmic,orz,2026/3/22 0:00,2026/3/27 0:00,2026/3/31 0:00,
15,Rizline,日子线,2026/3/22 0:00,2026/3/27 0:00,2026/3/13 0:00,
21,maimai,舞萌,2026/3/27 0:00,2026/3/27 0:00,2026/3/19,
22,CHUNITHM,中二节奏,2026/3/27 0:00,2026/3/27 0:00,2026/3/19,
23,O.N.G.E.K.I.,ongeki,2026/3/27 0:00,2026/3/27 0:00,2025/2/6,
24,Arcaea,arc,2026/3/27 0:00,2026/3/27 0:00,2026/3/9,
32,WACCA,华卡,2026/3/27 0:00,2026/3/27 0:00,2022/7/1,
31,Groove Coaster,GC,2026/3/27 0:00,2026/3/27 0:00,2022/11/23,
91,osu! World Cup,OWC,2026/3/31 0:00,2026/3/31 0:00,,
92,osu!catch World Cup,CWC,2026/3/31 0:00,2026/3/31 0:00,,
93,osu!taiko World Cup,TWC,2026/3/31 0:00,2026/3/31 0:00,,
94,osu!mania 4K World Cup,MWC4K,2026/3/31 0:00,2026/3/31 0:00,,
95,osu!mania 7K World Cup,MWC7K,2026/3/31 0:00,2026/3/31 0:00,,
51,Berry Melody,BM,2026/4/7,2026/4/7,,
52,Deemo II,Deemo2,2026/4/7,2026/4/7,,
53,Liminality,,2026/4/7,2026/4/7,,
54,Milthm,,2026/4/7,2026/4/7,,
55,Notanote,,2026/4/7,2026/4/7,,
56,SHINOBI SLASH,小忍者,2026/4/7,2026/4/7,,
57,TAKUMI³,TAKUMI,2026/4/7,2026/4/7,,
58,VOEZ,兰空,2026/4/7,2026/4/7,,
59,Vivid/Statis,v/s,2026/4/7,2026/4/7,,
33,Tone Sphere,,,,,
34,冰与火之舞,adofai,,,,
35,TAPSONIC BOLD,,,,,
36,BEATCRAFT CYCLON,,,,,
37,Synchronica,,,,,
38,INVAXION,,,,,
39,Chrono Circle,,,,,
40,Jubeat,ub,,,,
41,beatmania IIDX,iidx,,,,
42,SOUND VOLTEX,sdvx,,,,
43,DanceDanceRevolution,ddr,,,,
44,pop'n music,破盆,,,,
45,GITADORA,,,,,
46,ノスタルジア,nos,,,,
47,DANCERUSH,,,,,
48,Polaris Chord,ポラリスコード,,,,
49,DANCE aROUND,,,,,
50,MÚSECA,museca,,,,
61,MUSIC DIVER,music diver,,,,
62,Lanota,,,,,
63,polytone,玻璃桶,,,,
64,Cytus II,cytus2,,,,
65,RYCEAM,镜之韵律,,,,
66,MUSYNC,同步音律喵赛克,,,,
67,Dynamix Universe,dyuv,,,,
68,kalpa,,,,,
69,MUSYNC:RETURN,喵赛克:回归,,,,
71,Malody4K段位,,,,,
72,osu4K段位,,,,,
73,Malody6K段位,6kdan,,,,
74,osu7k段位,7kdan,,,,
75,LN段位,ln,,,,
81,Muse Dash,喵斯快跑,,,,
82,太鼓达人,,,,,
83,OverEcho,,,,,
84,OverRapid,,,,,
85,DJMAX RESPECT V,DJMAX,,,,
86,PLATiNA :: LAB,,,,,
87,舞立方Evo,,,,,
88,MASH VP! Re:VISION,,,,,
89,Superbeat,,,,,
90,STELLIGHTS,,,,,
96,THE BMS OF FIGHTERS,BOF,,,,
97,GTS,Expert Global Taiko Showdown,,,,
98,AWC,ADOFAI World Cup,,,,
101,REFLEC BEAT,,,,,
102,BeatStream,,,,,
103,DanceEvolution,,,,,
104,Cytus,,,,,
105,Deemo,,,,,
106,Dynamix,,,,,
107,EZ2AC&EZ2DJ,,,,,
108,EZ2ON,,,,,
109,Pump It Up,PIU,,,,
111,Tetote Connect,,,,,
112,SEVEN's CODE,,,,,
113,Nanobeat,,,,,
114,Neon FM,,,,,
115,Gadvia,,,,,
116,NOISZ,,,,,
117,Sixtar Gate,,,,,
118,RAVON,,,,,
119,音札,,,,,
120,COXETA,,,,,
121,Hexa Hysteria,,,,,
122,Azrael,,,,,
123,Twirdora,,,,,
124,Starri,,,,,
125,AnXiens,,,,,
126,VoltHopper,,,,,
127,Circle of Sparks,,,,,
128,Dance Rail Refresh,,,,,
129,Dance Rail 3,,,,,
130,TAPSONIC TOP,,,,,
131,ELLIA,,,,,
132,SparkLine,,,,,
